title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Government Relations,GR,sk/GR,Ministries,,,,http://www.gr.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1855 Victoria Avenue, Regina, SK, Canada, S4P 3T2",,"",,6/7/13,7/8/13
Government Services - See Central Services,government-services-see-central-services,sk/government-services-see-central-services,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Health,HE,sk/HE,Ministries,,,,http://www.health.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"3475 Albert Street, Regina, SK, Canada, S4S 6X6",,info@health.gov.sk.ca,,6/7/13,7/8/13
Highways and Infrastructure,HI,sk/HI,Ministries,,,,http://www.highways.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Victoria Tower, 1855 Victoria Avenue, Regina, SK, Canada, S4P 3T2",,communications@highways.gov.sk.ca,,6/7/13,7/8/13
Information Technology Office - see Central Services,information-technology-office-see-central-services,sk/information-technology-office-see-central-services,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Justice,JU,sk/JU,Ministries,,,,http://www.justice.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1874 Scarth Street, Regina, SK, Canada, S4P 4B3",,communications@justice.gov.sk.ca,,6/7/13,7/8/13
Labour Relations and Workplace Safety,LRWS,sk/LRWS,Ministries,,,,http://www.lrws.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"300 - 1870 Albert Street, Regina, SK, Canada, S4P 4W1",,"",,6/7/13,7/8/13
Municipal Affairs - See Government Relations,MAGR4,sk/MAGR4,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
"Parks, Culture and Sport",PCS,sk/PCS,Ministries,,,,http://www.pcs.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1st Floor, 3211 Albert Street, Regina, SK, Canada, S4S 5W6",,info@tpcs.gov.sk.ca,,6/7/13,7/8/13
Public Service Commission (PSC) - See Central Services,public-service-commission-psc-see-central-services,sk/public-service-commission-psc-see-central-services,Ministries,,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Social Services,SS,sk/SS,Ministries,,,,http://www.socialservices.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1920 Broad Street, Regina, SK, Canada, S4P 3V6",,socialservicesinquiry@gov.sk.ca,,6/7/13,7/8/13
Crown Investments Corporation of Saskatchewan (CIC),CIC,sk/CIC,Crown Corporations,,,,http://www.cicorp.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"400 - 2400 College Avenue, Regina, SK, Canada, S4P 1C8",,"",,6/7/13,7/8/13
eHealth Saskatchewan,eHS,sk/eHS,Crown Corporations,,,,http://www.eHealthSask.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"360 - 10 Research Drive, Regina, SK, Canada, S4S 7J7",,"",,6/7/13,7/8/13
Financial and Consumer Affairs Authority,FCAA,sk/FCAA,Crown Corporations,,,,http://www.fcaa.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"601 - 1919 Saskatchewan Drive, Regina, SK, Canada, S4P 4H2",,denny.huyghebaert@gov.sk.ca,,6/7/13,7/8/13
Global Transportation Hub Authority,GTHA,sk/GTHA,Crown Corporations,,,,http://www.thegth.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"350 - 1777 Victoria Avenue, Regina, SK, Canada, S4P 4K5",,"",,6/7/13,7/8/13
Information Services Corporation of Saskatchewan (ISC),ISC,sk/ISC,Crown Corporations,,,,http://www.isc.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"300 - 10 Research Drive, Regina, SK, Canada, S4S 7J7",,ask@isc.ca,,6/7/13,7/8/13
Municipal Financing Corporation of Saskatchewan (MFC),MFC,sk/MFC,Crown Corporations,,,,http://www.gov.sk.ca/mfc/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"6th Floor, 2350 Albert Street, Regina, SK, Canada, S4P 4A6",,"",,6/7/13,7/8/13
Physician Recruitment Agency of Saskatchewan,PRAS,sk/PRAS,Crown Corporations,,,,http://www.saskdocs.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"309 4th Avenue North, Saskatoon, SK, Canada, S7K 2L8",,info@saskdocs.ca,,6/7/13,7/8/13
Saskatchewan Development Fund Corporation,SDF,sk/SDF,Crown Corporations,,,,http://www.gov.sk.ca/SDF/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Suite 300, 2400 College Avenue, Regina, SK, Canada, S4P 1C8",,"",,6/7/13,7/8/13
Saskatchewan Grain Car Corporation,SGCC,sk/SGCC,Crown Corporations,,,,http://www.sgcc.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1210 - 1855 Victoria Avenue, Regina, SK, Canada, S4P 3T2",,"",,6/7/13,7/8/13
Saskatchewan Liquor and Gaming Authority,SLGA,sk/SLGA,Crown Corporations,,,,http://www.slga.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2500 Victoria Avenue, Box 5054, Regina, SK, Canada, S4P 3M3",,inquiry@slga.gov.sk.ca,,6/7/13,7/8/13
Saskatchewan Opportunities Corporation (SOCO),SOCO,sk/SOCO,Crown Corporations,,,,http://www.innovationplace.com/corporate.php,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Innovation Place, 114 - 15 Innovation Boulevard, Saskatoon, SK, Canada, S7N 2X8",,saskatoon@innovationplace.com,,6/7/13,7/8/13
Saskatchewan Research Council,SRC,sk/SRC,Crown Corporations,,,,http://www.src.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"125 - 15 Innovation Boulevard, Saskatoon, SK, Canada, S7N 2X8",,"",,6/7/13,7/8/13
Saskatchewan Transportation Company,STC,sk/STC,Crown Corporations,,,,http://www.stcbus.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Head Office, 1717 Saskatchewan Drive, Regina, SK, Canada, S4P 2E2",,info@stcbus.com,,6/7/13,7/8/13
SaskBuilds,SKB,sk/SKB,Crown Corporations,,,,http://www.saskbuilds.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"720 - 1855 Victoria Avenue, Regina, SK, Canada, S4P 3T2",,"",,6/7/13,7/8/13
SaskEnergy Incorporated,SKENERGY,sk/SKENERGY,Crown Corporations,,,,http://www.saskenergy.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1777 Victoria Avenue, Regina, SK, Canada, S4P 4K5",,webmaster@saskenergy.com,,6/7/13,7/8/13
SaskGaming,SKG,sk/SKG,Crown Corporations,,,,http://www.casinoregina.com/corporate/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"3rd Floor, 1880 Saskatchewan Drive, Regina, SK, Canada, S4P 0B2Courier for Departments Located in Main Building, 2020 Saskatchewan Drive, Regina, SK, Canada, S4P 0B2",,"",,6/7/13,7/8/13
SaskPower,SPC,sk/SPC,Crown Corporations,,,,http://www.saskpower.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2025 Victoria Avenue, Regina, SK, Canada, S4P 0S1",,webmaster@saskpower.sk.ca,,6/7/13,7/8/13
SaskTel,SASKTEL,sk/SASKTEL,Crown Corporations,,,,http://www.sasktel.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2121 Saskatchewan Drive, Regina, SK, Canada, S4P 3Y2",,corporate.comments@sasktel.sk.ca,,6/7/13,7/8/13
SaskWater,SWATER,sk/SWATER,Crown Corporations,,,,http://www.saskwater.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"200 - 111 Fairford Street E, Moose Jaw, SK, Canada, S6H 1C8",,comm@saskwater.com,,6/7/13,7/8/13
Tourism Saskatchewan,TSK,sk/TSK,Crown Corporations,,,,http://www.sasktourism.com,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"189-1621 Albert Street, Regina, SK, Canada, S4P 2S5",,Travel.info@sasktourism.com,,6/7/13,7/8/13
Water Security Agency,WSA,sk/WSA,Crown Corporations,,,,http://www.wsask.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"111 Fairford Street E, Moose Jaw, SK, Canada, S6H 7X9",,comm@wsask.ca,,6/7/13,7/8/13
Apprenticeship and Trade Certification Commission,ATCC,sk/ATCC,"Agencies, Boards and Commissions",,,,http://www.saskapprenticeship.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2140 Hamilton Street, Regina, SK, Canada, S4P 2E3",,Apprenticeship@gov.sk.ca,,6/7/13,7/8/13
Automobile Injury Appeal Commission,AIAC,sk/AIAC,"Agencies, Boards and Commissions",,,,http://www.autoinjuryappeal.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Room 504, 2400 College Avenue, Regina, SK, Canada, S4P 1C8",,aiac@gov.sk.ca,,6/7/13,7/8/13
Board of Revenue Commissioners,BRC,sk/BRC,"Agencies, Boards and Commissions",,,,http://www.gov.sk.ca/BRC/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"480 - 2151 Scarth Street, Regina, SK, Canada, S4P 2H8",,"",,6/7/13,7/8/13
Cafeteria Board,CB,sk/CB,"Agencies, Boards and Commissions",,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Conexus Arts Centre,CAC,sk/CAC,"Agencies, Boards and Commissions",,,,http://www.conexusartscentre.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"200A Lakeshore Drive, Regina, SK, Canada, S4S 7L3",,"",,6/7/13,7/8/13
Farmland Security Board (Farm Ownership / Farm Foreclosure and Home Quarter Protection),FLSB,sk/FLSB,"Agencies, Boards and Commissions",,,,http://www.farmland.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Room 315, 3085 Albert Street, Regina, SK, Canada, S4S 0B1",,"",,6/7/13,7/8/13
Health Quality Council,HQC,sk/HQC,"Agencies, Boards and Commissions",,,,http://www.hqc.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"241 Atrium Building, Innovation Place, 111 Research Drive, Saskatoon, SK, Canada, S7N 3R2",,info@hqc.sk.ca,,6/7/13,7/8/13
Highway Traffic Board,HTB,sk/HTB,"Agencies, Boards and Commissions",,,,http://www.highwaytrafficboard.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1550 Saskatchewan Drive, Regina, SK, Canada, S4P 0E4",,contactus@highwaytrafficboard.sk.ca,,6/7/13,7/8/13
Innovation Saskatchewan,IS,sk/IS,"Agencies, Boards and Commissions",,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Law Reform Commission of Saskatchewan,LRCS,sk/LRCS,"Agencies, Boards and Commissions",,,,http://www.lawreformcommission.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"University of Saskatchewan, Room 209, College of Law, 15 Campus Drive, Saskatoon, SK, Canada, S7N 5A6",,"",,6/7/13,7/8/13
Legal Aid Saskatchewan,LEGALAID,sk/LEGALAID,"Agencies, Boards and Commissions",,,,http://www.legalaid.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,central@legalaid.sk.ca,,6/7/13,7/8/13
Office of Residential Tenancies,ORT,sk/ORT,"Agencies, Boards and Commissions",,,,http://www.justice.gov.sk.ca/ORT,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"120 - 2151 Scarth Street, Regina, SK, Canada, S4P 2H8",,"",,6/7/13,7/8/13
Prairie Agricultural Machinery Institute (PAMI),PAMI,sk/PAMI,"Agencies, Boards and Commissions",,,,http://www.pami.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Box 1150, Humboldt, SK, Canada, S0K 2A02215  8th Avenue, Hwy # 5 West",,humboldt@pami.ca,,6/7/13,7/8/13
"Provincial Capital Commission - See Parks, Culture and Sport",provincial-capital-commission-see-parks-culture-and-sport,sk/provincial-capital-commission-see-parks-culture-and-sport,"Agencies, Boards and Commissions",,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Provincial Mediation Board,provincial-mediation-board,sk/provincial-mediation-board,"Agencies, Boards and Commissions",,,,http://www.justice.gov.sk.ca/PMB,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"120 - 2151 Scarth Street, Regina, SK, Canada, S4P 2H8",,"",,6/7/13,7/8/13
Public and Private Rights Board,PPRB,sk/PPRB,"Agencies, Boards and Commissions",,,,http://www.justice.gov.sk.ca/publicandprivaterightsboard,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"323 - 3085 Albert Street, Regina, SK, Canada, S4S 0B1",,"",,6/7/13,7/8/13
Saskatchewan Archives Board,ARCHIVES,sk/ARCHIVES,"Agencies, Boards and Commissions",,,,http://www.saskarchives.com,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"P.O. Box 1665, Regina, SK, Canada, S4P 3C6Room 401, 1870 Albert Street, Regina, SK, Canada, S4P 4B7",,"",,6/7/13,7/8/13
Saskatchewan Arts Board,SAB,sk/SAB,"Agencies, Boards and Commissions",,,,http://www.artsboard.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1355 Broad Street, Regina, SK, Canada, S4R 7V1",,info@artsboard.sk.ca,,6/7/13,7/8/13
Saskatchewan Financial Services Commission - See Financial and Consumer Affairs Authority,saskatchewan-financial-services-commission-see-financial-and-consumer-affairs-authority,sk/saskatchewan-financial-services-commission-see-financial-and-consumer-affairs-authority,"Agencies, Boards and Commissions",,,,"",Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Saskatchewan Health Research Foundation (SHRF),SHRF,sk/SHRF,"Agencies, Boards and Commissions",,,,http://www.shrf.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"253 - 111 Research Drive, Saskatoon, SK, Canada, S7N 3R2Atrium Building, Innovation Place",,"",,6/7/13,7/8/13
Saskatchewan Human Rights Commission (SHRC),SHRC,sk/SHRC,"Agencies, Boards and Commissions",,,,http://www.shrc.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,shrc@gov.sk.ca,,6/7/13,7/8/13
Saskatchewan Labour Relations Board,SLRB,sk/SLRB,"Agencies, Boards and Commissions",,,,http://www.sasklabourrelationsboard.com,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"1600 - 1920 Broad Street, Regina, SK, Canada, S4P 3V2",,"",,6/7/13,7/8/13
Saskatchewan Municipal Board (SMB),SMB,sk/SMB,"Agencies, Boards and Commissions",,,,http://www.smb.gov.sk.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"480 - 2151 Scarth Street, Regina, SK, Canada, S4P 2H8",,info@smb.gov.sk.ca,,6/7/13,7/8/13
Saskatchewan Pension Plan,SPP,sk/SPP,"Agencies, Boards and Commissions",,,,http://www.saskpension.com,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"608 Main Street, Box 5555, Kindersley, SK, Canada, S0L 1S0",,info@saskpension.com,,6/7/13,7/8/13
Saskatchewan Public Complaints Commission,SPCC,sk/SPCC,"Agencies, Boards and Commissions",,,,http://www.publiccomplaintscommission.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"300 - 1919 Saskatchewan Drive, Regina, SK, Canada, S4P 4H2",,"",,6/7/13,7/8/13
Saskatchewan Sheep Development Board,SSDB,sk/SSDB,"Agencies, Boards and Commissions",,,,http://www.sksheep.com,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2213C Hanselman Court, Saskatoon, SK, Canada, S7L 6A8",,sheepdb@sasktel.net,,6/7/13,7/8/13
Surface Rights Arbitration Board,SRAB,sk/SRAB,"Agencies, Boards and Commissions",,,,http://www.er.gov.sk.ca/SurfaceRights,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Box 1597, Kindersley, SK, Canada, S0L 1S0113 2nd Avenue E",,SurfaceRightsBoard@gov.sk.ca,,6/7/13,7/8/13
Teachers' Superannuation Commission,TSC,sk/TSC,"Agencies, Boards and Commissions",,,,http://www.stsc.gov.sk.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"129 - 3085 Albert Street, Regina, SK, Canada, S4S 0B1",,mail@stsc.gov.sk.ca,,6/7/13,7/8/13
Wascana Centre Authority,WCA,sk/WCA,"Agencies, Boards and Commissions",,,,http://www.wascana.ca,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"2900 Wascana Drive, Box 7111, Regina, SK, Canada, S4P 3S7",,wca@wascana.ca,,6/7/13,7/8/13
Water Appeal Board,WB,sk/WB,"Agencies, Boards and Commissions",,,,http://www.gov.sk.ca/WB/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"Room 217, 3085 Albert Street, Regina, SK, Canada, S4S 0B1",,"",,6/7/13,7/8/13
Western Development Museum,WDM,sk/WDM,"Agencies, Boards and Commissions",,,,http://www.wdm.ca/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"",,"",,6/7/13,7/8/13
Workers' Compensation Board,WCB,sk/WCB,"Agencies, Boards and Commissions",,,,http://www.wcbsask.com/,Saskatchewan,SK,Saskatchewan Government Telephone Directory,http://gtds.gov.sk.ca,"200 - 1881 Scarth Street, Regina, SK, Canada, S4P 4L1",,webmaster@wcbsask.com,,6/7/13,7/8/13
