title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Performance management ,,bc/performance-management,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9404, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Public service engagement and corporate initiatives,,bc/public-service-engagement-and-corporate-initiatives,,BC Public Service Agency,bc/bc-public-service-agency,,http://www.gov.bc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,2nd Floor - 525 Superior St Victoria BC V8V1T7 CANADA,,,,6/6/13,7/8/13
Corporate engagement branch,,bc/corporate-engagement-branch,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Corporate communications branch,,bc/corporate-communications-branch,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Total compensation & benefits,,bc/total-compensation-benefits,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. BOX 9481, STN. PROV. GOVT Victoria BC V8W9V1 CANADA",,,,6/6/13,7/8/13
Business performance division,,bc/business-performance-division,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9404 STN PROV GOVT Victoria BC V8W9V1 CANADA,,,,6/6/13,7/8/13
Business applications branch,,bc/business-applications-branch,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 9404 Stn Prov Govt Victoria BC V8W9V1 CANADA,,,,6/6/13,7/8/13
Business analysis & reporting,,bc/business-analysis-reporting,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9404 STN PROV GOVT Victoria BC V8W9V1 CANADA,,,,6/6/13,7/8/13
Performance measurement branch,,bc/performance-measurement-branch,,BC Public Service Agency,bc/bc-public-service-agency,,http://www.bcpublicservice.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9404 STN PROV GOVT VICTORIA BC V8W9V1 CANADA,,,,6/6/13,7/8/13
Project services & transformation,,bc/project-services-transformation,,BC Public Service Agency,bc/bc-public-service-agency,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9404 STN PROV GOVT Victoria BC V8W9V1 CANADA,,,,6/6/13,7/8/13
Employee relations division,,bc/employee-relations-division,,BC Public Service Agency,bc/bc-public-service-agency,,http://www.bcpublicservice.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Bc transit,,bc/bc-transit,,BC Transit,bc/bc-transit,,http://www.bctransit.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 610 Victoria BC V8W2P3 CANADA,,,,6/6/13,7/8/13
British columbia utilities commission,,bc/british-columbia-utilities-commission,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,commission.secretary@bcuc.com,,6/6/13,7/8/13
Office of the chair,,bc/office-of-the-chair,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,viki.vourlis@bcuc.com,,6/6/13,7/8/13
Financial administration,,bc/financial-administration,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,viki.vourlis@bcuc.com,,6/6/13,7/8/13
"Performance monitoring, conduct & compliance",,bc/performance-monitoring-conduct-compliance,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,commission.secretary@bcuc.com,,6/6/13,7/8/13
Commissioners,,bc/commissioners,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,viki.vourlis@bcuc.com,,6/6/13,7/8/13
Commission secretary's office,,bc/commission-secretary-s-office,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe St. Vancouver BC V6Z2N3 CANADA",,commission.secretary@bcuc.com,,6/6/13,7/8/13
Energy,,bc/energy,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,commission.secretary@bcuc.com,,6/6/13,7/8/13
"Policy, planning & customer relations",,bc/policy-planning-customer-relations,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,,,6/6/13,7/8/13
Infrastructure,,bc/infrastructure,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe St. Vancouver BC V6Z2N3 CANADA",,viki.vourlis@bcuc.com,,6/6/13,7/8/13
Rates,,bc/rates,,BC Utilities Commission,bc/bc-utilities-commission,,http://www.bcuc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"Box 250, 900 Howe Street Vancouver BC V6Z2N3 CANADA",,commission.secretary@bcuc.com,,6/6/13,7/8/13
Board of directors,,bc/board-of-directors,,British Columbia Assessment Authority,bc/british-columbia-assessment-authority,,http://www.bcassessment.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,sabrina.kunz@bcassessment.ca,,6/6/13,7/8/13
Executive,,bc/executive,,British Columbia Assessment Authority,bc/british-columbia-assessment-authority,,http://www.bcassessment.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,firstname.lastname@bcassessment.ca,,6/6/13,7/8/13
Head office managers,,bc/head-office-managers,,British Columbia Assessment Authority,bc/british-columbia-assessment-authority,,http://www.bcassessment.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,firstname.lastname@bcassessment.ca,,6/6/13,7/8/13
Regional assessors,,bc/regional-assessors,,British Columbia Assessment Authority,bc/british-columbia-assessment-authority,,http://www.bcassessment.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,firstname.lastname@bcassessment.ca,,6/6/13,7/8/13
Government directory updates ,,bc/government-directory-updates,,British Columbia Assessment Authority,bc/british-columbia-assessment-authority,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Board of directors,,bc/board-of-directors,,British Columbia Hydro and Power Authority,bc/british-columbia-hydro-and-power-authority,,http://www.bchydro.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,customer.service@bchydro.com,,6/6/13,7/8/13
Senior management,,bc/senior-management,,British Columbia Hydro and Power Authority,bc/british-columbia-hydro-and-power-authority,,http://www.bchydro.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,customer.service@bchydro.com,,6/6/13,7/8/13
British columbia investment management corporation,,bc/british-columbia-investment-management-corporation,,British Columbia Investment Management Corporation,bc/british-columbia-investment-management-corporation,,http://www.bcimc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9910 STN PROV GOVT Victoria BC V8W9R1 CANADA,,communications@bcimc.com,,6/6/13,7/8/13
Executive,,bc/executive,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com/,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,2940 Virtual Way Vancouver BC V5M0A6 Canada,,,,6/6/13,7/8/13
Executive,,bc/executive,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Kamloops head office,,bc/kamloops-head-office,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,74 West Seymour Street Kamloops BC V2C1E2 Canada,,,,6/6/13,7/8/13
Finance and corporate services,,bc/finance-and-corporate-services,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,74 West Seymour Street Kamloops BC V2C1E2 Canada,,,,6/6/13,7/8/13
Business technology,,bc/business-technology,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,74 West Seymour Street Kamloops BC V2C1E2 Canada,,,,6/6/13,7/8/13
Vancouver sales & marketing office,,bc/vancouver-sales-marketing-office,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Egaming,,bc/egaming,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com/,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Casino & community gaming,,bc/casino-community-gaming,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Strategy transformation & social responsibility,,bc/strategy-transformation-social-responsibility,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Lottery gaming,,bc/lottery-gaming,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Corporate security & compliance,,bc/corporate-security-compliance,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Human resources,,bc/human-resources,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Audit services,,bc/audit-services,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Communications & public affairs,,bc/communications-public-affairs,,British Columbia Lottery Corporation,bc/british-columbia-lottery-corporation,,http://www.bclc.com/,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
British columbia pension corporation,,bc/british-columbia-pension-corporation,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://www.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Municipal pension plan,,bc/municipal-pension-plan,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://mpp.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Public service & wcb pension plan,,bc/public-service-wcb-pension-plan,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://pspp.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Teachers & colleges pension plan,,bc/teachers-colleges-pension-plan,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://tpp.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Pension services,,bc/pension-services,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://www.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,retired.members@pensionsbc.ca,,6/6/13,7/8/13
Executive offices,,bc/executive-offices,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://www.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"PO BOX 9460, VICTORIA BC V8W9V8 CANADA",,,,6/6/13,7/8/13
Pension board secretariat,,bc/pension-board-secretariat,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://www.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Municipal pension plan board secretariat,,bc/municipal-pension-plan-board-secretariat,,British Columbia Pension Corporation,bc/british-columbia-pension-corporation,,http://mpp.pensionsbc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO BOX 9460 VICTORIA BC V8W9V8 CANADA,,,,6/6/13,7/8/13
Bcr properties ltd.,,bc/bcr-properties-ltd,,British Columbia Railway Company,bc/british-columbia-railway-company,,http://www.bcrco.com,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,,,,,6/6/13,7/8/13
Executive offices,,bc/executive-offices,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,http://www.bcsc.bc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Corporate finance,,bc/corporate-finance,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Legal services,,bc/legal-services,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Financial reporting,,bc/financial-reporting,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Compliance,,bc/compliance,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Corporate disclosure,,bc/corporate-disclosure,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,PO Box 10142 Pacific Centre 701 West Georgia St Vancouver BC V7Y1L2 CANADA,,,,6/6/13,7/8/13
Capital markets regulations,,bc/capital-markets-regulations,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Dealer compliance,,bc/dealer-compliance,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,http://www.bcsc.bc.ca,British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Registration,,bc/registration,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Adviser/ifm compliance,,bc/adviser-ifm-compliance,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Legal services,,bc/legal-services,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Self-regulatory organization oversight branch,,bc/self-regulatory-organization-oversight-branch,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 West Georgia Street Vancouver BC V7Y1L2 CANADA",,,,6/6/13,7/8/13
Executive director's office,,bc/executive-director-s-office,,British Columbia Securities Commission,bc/british-columbia-securities-commission,,"",British Columbia,ocd-division/country:ca/province:bc,B.C. Government directory,http://dir.gov.bc.ca/gtds.cgi?Index=ByUnitHier,"P.O. Box 10142, Pacific Centre 701 W. Georgia Street Vancouver BC V7Y1L2",,,,6/6/13,7/8/13
